
============================================================
Тестирование BTCUSDT
============================================================
[BB-Donchian] СИГНАЛ SHORT по цене 123.59, стоп 126.35, риск 1.5%
[BB-Donchian] СИГНАЛ LONG по цене 119.96, стоп 117.04, риск 1.5%
[BB-Donchian] СИГНАЛ SHORT по цене 124.69, стоп 126.68, риск 1.5%
[BB-Donchian] СИГНАЛ SHORT по цене 125.22, стоп 127.39, риск 1.5%
[BB-Donchian] СИГНАЛ SHORT по цене 139.44, стоп 142.94, риск 1.5%
[BB-Donchian] СИГНАЛ SHORT по цене 140.74, стоп 144.34, риск 1.5%
[BB-Donchian] СИГНАЛ LONG по цене 144.93, стоп 141.20, риск 1.5%
[BB-Donchian] СИГНАЛ LONG по цене 144.12, стоп 141.18, риск 1.5%
[BB-Donchian] СИГНАЛ SHORT по цене 144.30, стоп 147.24, риск 1.5%
[BB-Donchian] СИГНАЛ LONG по цене 142.05, стоп 139.88, риск 1.5%
[BB-Donchian] СИГНАЛ LONG по цене 129.18, стоп 125.60, риск 1.5%
[BB-Donchian] СИГНАЛ LONG по цене 125.47, стоп 123.56, риск 1.5%
[BB-Donchian] СИГНАЛ SHORT по цене 125.99, стоп 129.75, риск 1.5%
[BB-Donchian] СИГНАЛ LONG по цене 122.97, стоп 119.32, риск 1.5%
[BB-Donchian] СИГНАЛ LONG по цене 85.43, стоп 77.93, риск 1.5%
[BB-Donchian] СИГНАЛ SHORT по цене 85.38, стоп 87.53, риск 1.5%
[BB-Donchian] СИГНАЛ LONG по цене 83.44, стоп 81.05, риск 1.5%
[BB-Donchian] СИГНАЛ LONG по цене 91.95, стоп 88.49, риск 1.5%
[BB-Donchian] СИГНАЛ LONG по цене 90.75, стоп 88.34, риск 1.5%
[BB-Donchian] СИГНАЛ SHORT по цене 83.98, стоп 86.74, риск 1.5%
[BB-Donchian] СИГНАЛ LONG по цене 79.54, стоп 77.84, риск 1.5%
[BB-Donchian] СИГНАЛ SHORT по цене 85.42, стоп 88.31, риск 1.5%
